yardline_100,ydstogo,decision,prob
13,4,go_for_it,0.28125
13,5,field_goal,0.7631578947368421
13,5,go_for_it,0.23684210526315788
13,6,field_goal,0.8846153846153846
13,6,go_for_it,0.11538461538461539
13,7,field_goal,0.9354838709677419
13,7,go_for_it,0.06451612903225806
13,8,field_goal,0.9444444444444444
13,8,go_for_it,0.05555555555555555
13,9,field_goal,0.9565217391304348
13,9,go_for_it,0.043478260869565216
13,10,field_goal,0.8421052631578947
13,10,go_for_it,0.15789473684210525
13,11,field_goal,0.8571428571428571
13,11,go_for_it,0.14285714285714285
13,12,field_goal,1
13,13,field_goal,0.8813559322033898
13,13,go_for_it,0.11864406779661017
14,1,field_goal,0.15
14,1,go_for_it,0.85
14,2,field_goal,0.5833333333333334
14,2,go_for_it,0.4166666666666667
14,3,field_goal,0.8461538461538461
14,3,go_for_it,0.15384615384615385
14,4,field_goal,0.8484848484848485
14,4,go_for_it,0.15151515151515152
14,5,field_goal,0.7777777777777778
14,5,go_for_it,0.2222222222222222
14,6,field_goal,0.782608695652174
14,6,go_for_it,0.21739130434782608
14,7,field_goal,0.8928571428571429
14,7,go_for_it,0.10714285714285714
14,8,field_goal,0.9523809523809523
14,8,go_for_it,0.047619047619047616
14,9,field_goal,0.9523809523809523
14,9,go_for_it,0.047619047619047616
14,10,field_goal,0.7666666666666667
14,10,go_for_it,0.23333333333333334
14,11,field_goal,0.9166666666666666
14,11,go_for_it,0.08333333333333333
14,12,field_goal,1
14,13,field_goal,1
14,14,field_goal,0.8297872340425532
14,14,go_for_it,0.1702127659574468
15,1,field_goal,0.2962962962962963
15,1,go_for_it,0.7037037037037037
15,2,field_goal,0.6470588235294118
15,2,go_for_it,0.35294117647058826
15,3,field_goal,0.7391304347826086
15,3,go_for_it,0.2608695652173913
15,4,field_goal,0.8571428571428571
15,4,go_for_it,0.14285714285714285
15,5,field_goal,0.8
15,5,go_for_it,0.2
15,6,field_goal,0.8888888888888888
15,6,go_for_it,0.1111111111111111
